Fiscal Year,Avg Yearly Inflation,Total NEA Appropriation,Multiplier,In 2020 Dollars,Cumulative Inflation Percent,Congress Majority,GDP Per Capita,Growth Rate
1970,5.7,1530572,6.7082473,10267455.67,570.8,1,5234.2967,4.02
1971,4.4,1890341,6.708247,12680875.14,542.7,1,5609.3826,7.17
1972,3.2,4059981,6.226794,25280666.38,522.7,1,6094.018,8.64
1973,6.2,5499960,5.862162,32241657.41,486.2,1,6726.359,10.38
1974,11,6872000,5.279513,36280814.6,428,1,7225.6914,7.42
1975,9.1,9362112,4.837918,45293132.18,383.8,1,7801.4567,7.97
1976,5.8,12782753,4.574341,58472670.49,357.4,1,8592.2535,10.14
1977,6.5,13356023,4.29505,57364779.97,329.5,1,9452.5765,10.01
1978,7.6,13291221,3.992025,53058880.4,299.2,1,10564.9482,11.77
1979,11.3,16542578,3.585124,59307192.86,258.5,1,11674.1863,10.5
1980,13.5,21839790,3.158738,68986171.62,215.9,1,12574.7915,7.71
1981,10.3,19516600,2.863366,55883175.45,186.3,1,13976.1098,11.14
1982,6.2,19942265,2.697202,53788318.49,169.7,1,14433.7877,3.27
1983,3.2,17858400,2.613253,46668517.59,161.3,1,15543.8937,7.69
1984,4.3,17994400,2.505101,45077790.49,150.5,1,17121.2255,10.15
1985,3.6,20807100,2.418959,50331524.05,141.9,1,18236.8277,6.52
1986,1.9,20828100,2.374818,49462936.75,137.5,1,19071.2272,4.58
1987,3.6,20155600,2.291197,46180453.94,129.1,1,20038.9411,5.07
1988,4.1,20999000,2.200169,46201350.13,120,1,21417.0119,6.88
1989,4.8,21195000,2.099032,44488988.71,109.9,1,22857.1544,6.72
1990,5.4,21388500,1.991431,42593716.76,99.1,1,23888.6,4.51
1991,4.2,21508000,1.911013,41102072.25,91.1,1,24342.2589,1.9
1992,3,26265000,1.855167,48725974.34,85.5,1,25418.9908,4.42
1993,3,25930000,1.801246,46706300.35,80.1,1,26387.2937,3.81
1994,2.6,27297000,1.756275,47941046.96,75.6,1,27694.8534,4.96
1995,2.8,26564000,1.707874,45367965.35,70.8,0,28690.8757,3.6
1996,3,25911576,1.658891,42984480.57,65.9,0,29967.7127,4.45
1997,2.3,25958687,1.621682,42096741.76,62.2,0,31459.139,4.98
1998,1.6,27408485,1.59681,43766137.89,59.7,0,32853.677,4.43
1999,2.2,29427438,1.562305,45974631.23,56.2,0,34513.5615,5.05
2000,3.4,29554029,1.511498,44670863.35,51.1,0,36334.9088,5.28
2001,2.8,28642583,1.470508,42119161.04,47.1,0,37133.2428,2.2
2002,1.6,30529968,1.446804,44170873.1,44.7,0,38023.1611,2.4
2003,2.3,33374350,1.414565,47210194.66,41.5,0,39496.4859,3.87
2004,2.7,33483179,1.377872,46135531.13,37.8,0,41712.8011,5.61
2005,3.4,34999321,1.332719,46644256.37,33.3,0,44114.7478,5.76
2006,3.2,34054048,1.291071,43966208.4,29.1,0,46298.7314,4.95
2007,2.8,36017700,1.255317,45213641.98,25.5,1,47975.9677,3.62
2008,3.8,35547100,1.208901,42972922.76,20.9,1,48382.5584,0.85
2009,-0.4,41988200,1.213217,50940810.66,21.3,1,47099.9805,-2.65
2010,1.6,44091500,1.193638,52629304.49,19.4,1,48467.5158,2.9
2011,3.2,47550665,1.157114,55021526.22,15.7,0,49886.8181,2.93
2012,2.1,42150106,1.133653,47783607.54,13.4,0,51610.6053,3.46
2013,1.5,39903355,1.117288,44583529.32,11.7,0,53117.6678,2.92
2014,1.6,38261600,1.099453,42066813.87,9.9,0,55047.7256,3.63
2015,0.1,39778698,1.098149,43682940.53,9.8,0,56822.5188,3.22
2016,1.3,40028991,1.084468,43410174.61,8.4,0,57927.5169,1.94
2017,2.1,41516850,1.061847,44084553.35,6.2,0,59957.7259,3.5
2018,2.4,41516850,1.03653,43033470.66,3.7,0,62996.6648,5.07
2019,1.8,41146500,1.018083,41890544.83,1.8,1,65280.6822,3.63
2020,1.5,42195700,1,42195700,0,1,65280.6822,3.63
